Num Etudiant,Type,Question,Attendue,Réponse,Temps,Erreur,Difficulté,Annotation
1,Addition, 5 + 9 = ?,14,1,36,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
1,Soustraction, 7 - 3 =?,4,9,37,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
1,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,10,57,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
2,Addition, 5 + 9 = ?,14,10,54,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
2,Soustraction, 7 - 3 =?,4,13,59,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
2,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,55,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
3,Addition, 5 + 9 = ?,14,5,43,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
3,Soustraction, 7 - 3 =?,4,5,42,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
3,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,41,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
4,Addition, 5 + 9 = ?,14,10,38,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
4,Soustraction, 7 - 3 =?,4,5,33,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
4,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,40,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
5,Addition, 5 + 9 = ?,14,4,41,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
5,Soustraction, 7 - 3 =?,4,8,44,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
5,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,5,33,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
6,Addition, 5 + 9 = ?,14,13,60,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
6,Soustraction, 7 - 3 =?,4,5,56,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
6,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,11,59,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
7,Addition, 5 + 9 = ?,14,15,55,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
7,Soustraction, 7 - 3 =?,4,6,58,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
7,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,9,48,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
8,Addition, 5 + 9 = ?,14,11,31,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
8,Soustraction, 7 - 3 =?,4,8,59,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
8,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,43,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
9,Addition, 5 + 9 = ?,14,8,48,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
9,Soustraction, 7 - 3 =?,4,11,41,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
9,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,60,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
10,Addition, 5 + 9 = ?,14,8,45,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
10,Soustraction, 7 - 3 =?,4,11,50,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
10,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,53,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
11,Addition, 5 + 9 = ?,14,11,60,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
11,Soustraction, 7 - 3 =?,4,3,60,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
11,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,2,34,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
12,Addition, 5 + 9 = ?,14,9,40,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
12,Soustraction, 7 - 3 =?,4,8,49,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
12,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,13,34,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
13,Addition, 5 + 9 = ?,14,11,52,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
13,Soustraction, 7 - 3 =?,4,8,54,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
13,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,6,51,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
14,Addition, 5 + 9 = ?,14,13,58,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
14,Soustraction, 7 - 3 =?,4,4,59,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
14,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,54,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
15,Addition, 5 + 9 = ?,14,11,31,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
15,Soustraction, 7 - 3 =?,4,13,35,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
15,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,39,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
16,Addition, 5 + 9 = ?,14,8,42,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
16,Soustraction, 7 - 3 =?,4,7,58,Mauvaise lecture de la question,Difficile,"Bonne reponse, continue comme ca !"
16,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,12,31,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
17,Addition, 5 + 9 = ?,14,11,42,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
17,Soustraction, 7 - 3 =?,4,7,53,Erreur dans le calcul,Difficile,"Bonne reponse, continue comme ca !"
17,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,15,37,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
18,Addition, 5 + 9 = ?,14,10,30,Mauvaise lecture de la question,Facile,"Bonne reponse, continue comme ca !"
18,Soustraction, 7 - 3 =?,4,3,48,Confusion entre l'addition et la soustraction,Facile,"Bonne reponse, continue comme ca !"
18,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,3,53,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
19,Addition, 5 + 9 = ?,14,15,41,Erreur dans le calcul,Facile,"Bonne reponse, continue comme ca !"
19,Soustraction, 7 - 3 =?,4,15,45,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
19,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,4,35,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
20,Addition, 5 + 9 = ?,14,2,49,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
20,Soustraction, 7 - 3 =?,4,6,50,Confusion entre l'addition et la soustraction,Moyen,"Bonne reponse, continue comme ca !"
20,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,7,33,Mauvaise lecture de la question,Moyen,"Bonne reponse, continue comme ca !"
21,Addition, 5 + 9 = ?,14,7,46,Erreur dans le calcul,Moyen,"Bonne reponse, continue comme ca !"
21,Soustraction, 7 - 3 =?,4,10,48,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
21,Probleme de mot,"Si tu as 10 bonbons et tu en donnes 2 à ton ami, combien t'en reste-t-il ?",8,8,39,Confusion entre l'addition et la soustraction,Difficile,"Bonne reponse, continue comme ca !"
